ticket_id,ticket_text,category,environment,env_criticality,escalation_count,sla_breach_risk,repeat_incident,response_time_min,affected_users,priority
INC100061,VPN experiencing minor issue in database layer,Database,Development,1,0,0.19,0,155,3,P3
INC100062,File Storage experiencing partial outage in security layer,Security,Staging,2,1,0.69,1,12,397,P2
INC100063,Auth Service experiencing question in security layer,Security,Development,1,0,0.13,0,176,1,P4
INC100064,Database Cluster experiencing production down in storage layer,Storage,DR,3,7,1.0,0,3,4012,P1
INC100065,Auth Service experiencing single user in network layer,Network,Production,4,1,0.3,1,214,11,P3
INC100066,Web Portal experiencing partial outage in security layer,Security,DR,3,1,0.5,0,35,365,P2
INC100067,Reporting experiencing workaround available in storage layer,Storage,DR,3,1,0.26,0,230,33,P3
INC100068,API Gateway experiencing single user in security layer,Security,Production,4,1,0.43,1,76,25,P3
INC100069,Database Cluster experiencing minor issue in application layer,Application,DR,3,1,0.23,1,206,11,P3
INC100070,VPN experiencing non-critical in network layer,Network,Development,1,0,0.3,0,134,35,P3
INC100071,Auth Service experiencing some users affected in security layer,Security,Production,4,3,0.66,1,32,507,P2
INC100072,Auth Service experiencing non-critical in network layer,Network,Production,4,0,0.31,0,142,40,P3
INC100073,Payment Gateway experiencing low impact in application layer,Application,DR,3,1,0.39,0,222,54,P3
INC100074,Reporting experiencing question in database layer,Database,Staging,2,0,0.02,0,362,4,P4
INC100075,API Gateway experiencing minor issue in database layer,Database,Staging,2,1,0.32,1,79,34,P3
INC100076,API Gateway experiencing minor issue in database layer,Database,Development,1,1,0.22,0,108,30,P3
INC100077,Database Cluster experiencing single user in network layer,Network,Development,1,1,0.26,1,46,20,P3
INC100078,Payment Gateway experiencing single user in storage layer,Storage,Staging,2,1,0.32,0,144,47,P3
INC100079,VPN experiencing failover in database layer,Database,Development,1,1,0.71,0,38,110,P2
INC100080,Database Cluster experiencing slow in storage layer,Storage,Development,1,2,0.46,0,10,282,P2
INC100081,Auth Service experiencing low impact in application layer,Application,Staging,2,1,0.34,0,76,57,P3
INC100082,Auth Service experiencing delay in database layer,Database,DR,3,1,0.38,1,209,15,P3
INC100083,Email Service experiencing low impact in application layer,Application,DR,3,1,0.35,0,216,56,P3
INC100084,Payment Gateway experiencing slow in database layer,Database,Development,1,2,0.59,0,34,534,P2
INC100085,Auth Service experiencing errors increasing in network layer,Network,Development,1,2,0.51,0,26,574,P2
INC100086,API Gateway experiencing warning in application layer,Application,DR,3,0,0.27,0,63,47,P3
INC100087,API Gateway experiencing delay in security layer,Security,Production,4,0,0.22,1,93,34,P3
INC100088,VPN experiencing some users affected in storage layer,Storage,Development,1,1,0.48,0,15,552,P2
INC100089,Web Portal experiencing minor issue in database layer,Database,Staging,2,0,0.13,0,69,37,P3
INC100090,File Storage experiencing how to in application layer,Application,Development,1,0,0.14,0,394,0,P4
INC100091,Reporting experiencing delay in database layer,Database,Staging,2,0,0.29,0,202,44,P3
INC100092,API Gateway experiencing partial outage in security layer,Security,Staging,2,1,0.66,1,10,139,P2
INC100093,File Storage experiencing documentation in storage layer,Storage,Staging,2,0,0.08,0,220,1,P4
INC100094,Payment Gateway experiencing single user in application layer,Application,Production,4,1,0.38,0,130,9,P3
INC100095,Auth Service experiencing documentation in database layer,Database,Development,1,0,0.12,0,295,1,P4
INC100096,Reporting experiencing slow in database layer,Database,DR,3,3,0.42,1,31,398,P2
INC100097,API Gateway experiencing some users affected in storage layer,Storage,Production,4,1,0.69,1,35,181,P2
INC100098,Payment Gateway experiencing failover in network layer,Network,Staging,2,3,0.65,1,47,72,P2
INC100099,Auth Service experiencing warning in network layer,Network,Production,4,0,0.23,0,133,40,P3
INC100100,Email Service experiencing non-critical in database layer,Database,Development,1,1,0.34,0,140,29,P3
INC100101,File Storage experiencing single user in database layer,Database,Staging,2,1,0.36,1,184,55,P3
INC100102,Database Cluster experiencing intermittent in application layer,Application,DR,3,2,0.52,1,40,277,P2
INC100103,Web Portal experiencing single user in storage layer,Storage,DR,3,0,0.18,1,159,27,P3
INC100104,File Storage experiencing delay in security layer,Security,Development,1,0,0.31,1,103,40,P3
INC100105,Web Portal experiencing low impact in application layer,Application,DR,3,1,0.31,0,89,43,P3
INC100106,Database Cluster experiencing no impact in security layer,Security,DR,3,0,0.0,0,186,1,P4
INC100107,Reporting experiencing request in application layer,Application,Development,1,0,0.01,0,355,0,P4
INC100108,Database Cluster experiencing documentation in network layer,Network,Development,1,0,0.02,0,479,0,P4
INC100109,Web Portal experiencing errors increasing in database layer,Database,Staging,2,1,0.53,1,19,485,P2
INC100110,API Gateway experiencing low priority in network layer,Network,Staging,2,0,0.06,0,149,2,P4
INC100111,Payment Gateway experiencing enhancement in application layer,Application,Development,1,0,0.07,0,423,2,P4
INC100112,Email Service experiencing partial outage in network layer,Network,DR,3,2,0.41,0,38,112,P2
INC100113,Payment Gateway experiencing some users affected in security layer,Security,Staging,2,1,0.46,1,58,197,P2
INC100114,Web Portal experiencing warning in storage layer,Storage,DR,3,0,0.31,0,208,59,P3
INC100115,Auth Service experiencing documentation in storage layer,Storage,Staging,2,0,0.06,0,203,2,P4
INC100116,Payment Gateway experiencing down in database layer,Database,Staging,2,6,0.84,1,3,3835,P1
INC100117,API Gateway experiencing request in database layer,Database,Development,1,0,0.08,0,146,3,P4
INC100118,Web Portal experiencing question in storage layer,Storage,Development,1,0,0.08,0,382,2,P4
INC100119,Database Cluster experiencing non-critical in network layer,Network,DR,3,0,0.33,0,191,35,P3
INC100120,File Storage experiencing partial outage in database layer,Database,Staging,2,1,0.45,0,57,56,P2
INC100121,API Gateway experiencing single user in storage layer,Storage,Production,4,0,0.3,0,31,1,P3
INC100122,Payment Gateway experiencing enhancement in database layer,Database,DR,3,0,0.09,0,455,3,P4
INC100123,Payment Gateway experiencing single user in network layer,Network,Staging,2,1,0.18,1,137,24,P3
INC100124,Email Service experiencing failover in database layer,Database,Staging,2,1,0.57,1,18,286,P2
INC100125,File Storage experiencing delay in database layer,Database,Production,4,1,0.42,0,66,11,P3
INC100126,File Storage experiencing question in storage layer,Storage,DR,3,0,0.04,0,76,4,P4
INC100127,Email Service experiencing single user in security layer,Security,Staging,2,1,0.15,0,60,6,P3
INC100128,Reporting experiencing single user in security layer,Security,Staging,2,0,0.3,1,219,58,P3
INC100129,VPN experiencing non-critical in security layer,Security,Staging,2,0,0.13,0,55,29,P3
INC100130,File Storage experiencing warning in database layer,Database,DR,3,0,0.2,0,127,55,P3
INC100131,Web Portal experiencing warning in storage layer,Storage,Staging,2,1,0.11,0,110,59,P3
INC100132,Payment Gateway experiencing single user in network layer,Network,Staging,2,0,0.13,1,90,43,P3
INC100133,API Gateway experiencing delay in database layer,Database,Production,4,0,0.1,1,131,34,P3
INC100134,Auth Service experiencing some users affected in security layer,Security,Production,4,1,0.73,0,56,61,P2
INC100135,Web Portal experiencing minor issue in database layer,Database,DR,3,0,0.37,1,237,6,P3
INC100136,Reporting experiencing documentation in network layer,Network,Staging,2,0,0.1,0,347,1,P4
INC100137,Database Cluster experiencing low impact in application layer,Application,Production,4,1,0.21,0,36,9,P3
INC100138,Email Service experiencing some users affected in application layer,Application,DR,3,2,0.66,0,44,451,P2
INC100139,Web Portal experiencing non-critical in network layer,Network,Development,1,1,0.14,0,66,43,P3
INC100140,Email Service experiencing errors increasing in security layer,Security,Development,1,1,0.59,1,22,210,P2
INC100141,Payment Gateway experiencing low priority in security layer,Security,Staging,2,0,0.07,0,93,2,P4
INC100142,API Gateway experiencing enhancement in application layer,Application,Production,4,0,0.15,0,88,0,P4
INC100143,Reporting experiencing workaround available in security layer,Security,Production,4,0,0.24,0,132,20,P3
INC100144,API Gateway experiencing single user in network layer,Network,Staging,2,1,0.2,1,175,37,P3
INC100145,Reporting experiencing outage in storage layer,Storage,Production,4,3,0.9,0,10,2328,P1
INC100146,VPN experiencing low priority in security layer,Security,Development,1,0,0.13,0,361,2,P4
INC100147,Email Service experiencing how to in network layer,Network,Staging,2,0,0.01,0,131,3,P4
INC100148,API Gateway experiencing documentation in storage layer,Storage,Staging,2,0,0.02,0,166,1,P4
INC100149,API Gateway experiencing low impact in network layer,Network,Production,4,0,0.12,1,206,9,P3
INC100150,API Gateway experiencing inquiry in network layer,Network,Staging,2,0,0.07,0,204,2,P4
INC100151,Web Portal experiencing documentation in storage layer,Storage,Staging,2,0,0.08,0,388,3,P4
INC100152,Reporting experiencing non-critical in database layer,Database,Staging,2,0,0.15,1,182,34,P3
INC100153,Database Cluster experiencing enhancement in network layer,Network,Production,4,0,0.01,0,183,2,P4
INC100154,VPN experiencing single user in application layer,Application,Staging,2,1,0.14,1,234,17,P3
INC100155,API Gateway experiencing critical in storage layer,Storage,Production,4,4,0.86,1,1,1785,P1
INC100156,Auth Service experiencing non-critical in security layer,Security,DR,3,0,0.16,0,74,25,P3
INC100157,VPN experiencing how to in database layer,Database,DR,3,0,0.02,0,294,4,P4
INC100158,Database Cluster experiencing request in application layer,Application,Development,1,0,0.14,0,141,3,P4
INC100159,Email Service experiencing delay in storage layer,Storage,Production,4,1,0.13,0,46,40,P3
INC100160,API Gateway experiencing failover in storage layer,Storage,DR,3,2,0.5,0,50,273,P2
INC100161,Database Cluster experiencing documentation in security layer,Security,DR,3,0,0.12,0,463,3,P4
INC100162,VPN experiencing outage in network layer,Network,Development,1,4,0.84,0,8,2853,P1
INC100163,File Storage experiencing enhancement in storage layer,Storage,Development,1,0,0.02,0,440,3,P4
INC100164,VPN experiencing critical in network layer,Network,Development,1,5,0.9,1,14,3856,P1
INC100165,Reporting experiencing low priority in storage layer,Storage,Development,1,0,0.08,0,344,4,P4
INC100166,File Storage experiencing high latency in application layer,Application,DR,3,3,0.5,1,53,489,P2
INC100167,File Storage experiencing low impact in storage layer,Storage,Production,4,0,0.2,1,30,58,P3
INC100168,API Gateway experiencing no impact in application layer,Application,Development,1,0,0.13,0,339,3,P4
INC100169,Web Portal experiencing workaround available in database layer,Database,DR,3,1,0.17,0,37,15,P3
INC100170,Email Service experiencing non-critical in security layer,Security,Staging,2,0,0.15,0,89,58,P3
INC100171,Email Service experiencing warning in network layer,Network,Staging,2,1,0.34,0,195,48,P3
INC100172,Database Cluster experiencing delay in storage layer,Storage,Development,1,1,0.25,1,238,8,P3
INC100173,VPN experiencing non-critical in application layer,Application,Staging,2,0,0.36,1,198,8,P3
INC100174,Auth Service experiencing workaround available in network layer,Network,Development,1,0,0.3,0,83,22,P3
INC100175,Web Portal experiencing failover in application layer,Application,Production,4,2,0.51,1,42,165,P2
INC100176,VPN experiencing minor issue in application layer,Application,Development,1,1,0.34,1,135,55,P3
INC100177,API Gateway experiencing non-critical in database layer,Database,DR,3,1,0.31,0,189,41,P3
INC100178,File Storage experiencing low impact in application layer,Application,DR,3,0,0.39,0,113,16,P3
INC100179,API Gateway experiencing minor issue in application layer,Application,Staging,2,0,0.16,0,239,54,P3
INC100180,Reporting experiencing single user in storage layer,Storage,DR,3,0,0.18,1,129,45,P3
INC100181,Email Service experiencing failover in storage layer,Storage,Development,1,3,0.46,0,28,598,P2
INC100182,API Gateway experiencing how to in database layer,Database,Production,4,0,0.03,0,94,4,P4
INC100183,Email Service experiencing outage in network layer,Network,Development,1,7,0.92,1,4,3279,P1
INC100184,Web Portal experiencing delay in security layer,Security,DR,3,0,0.28,0,146,34,P3
INC100185,File Storage experiencing low impact in application layer,Application,Staging,2,0,0.2,0,154,12,P3
INC100186,Auth Service experiencing non-critical in storage layer,Storage,Staging,2,1,0.35,1,116,42,P3
INC100187,Email Service experiencing some users affected in application layer,Application,Staging,2,1,0.42,0,56,63,P2
INC100188,Payment Gateway experiencing minor issue in security layer,Security,Production,4,1,0.33,0,57,2,P3
INC100189,Web Portal experiencing how to in network layer,Network,Production,4,0,0.02,0,360,2,P4
INC100190,Reporting experiencing question in application layer,Application,Staging,2,0,0.07,0,323,2,P4
INC100191,Reporting experiencing enhancement in security layer,Security,Production,4,0,0.11,0,263,4,P4
INC100192,Web Portal experiencing how to in security layer,Security,DR,3,0,0.13,0,449,3,P4
INC100193,Payment Gateway experiencing warning in application layer,Application,DR,3,0,0.18,0,30,55,P3
INC100194,Database Cluster experiencing degraded in storage layer,Storage,Production,4,1,0.6,1,29,291,P2
INC100195,Reporting experiencing inquiry in application layer,Application,Development,1,0,0.15,0,98,2,P4
INC100196,Email Service experiencing low impact in security layer,Security,DR,3,0,0.15,1,153,55,P3
INC100197,Email Service experiencing failover in network layer,Network,Production,4,1,0.56,1,31,224,P2
INC100198,Payment Gateway experiencing delay in application layer,Application,Development,1,0,0.39,1,142,12,P3
INC100199,Auth Service experiencing degraded in security layer,Security,Production,4,3,0.73,1,57,118,P2
INC100200,Payment Gateway experiencing delay in security layer,Security,Staging,2,1,0.12,1,198,25,P3
INC100201,Reporting experiencing enhancement in storage layer,Storage,Production,4,0,0.13,0,440,3,P4
INC100202,Payment Gateway experiencing single user in application layer,Application,Staging,2,0,0.21,1,158,24,P3
INC100203,Database Cluster experiencing errors increasing in network layer,Network,Development,1,1,0.53,0,30,522,P2
INC100204,API Gateway experiencing workaround available in network layer,Network,DR,3,1,0.13,0,139,14,P3
INC100205,API Gateway experiencing single user in network layer,Network,Staging,2,1,0.43,1,185,53,P3
INC100206,Database Cluster experiencing inquiry in security layer,Security,Production,4,0,0.08,0,359,3,P4
INC100207,Database Cluster experiencing minor issue in application layer,Application,DR,3,0,0.1,0,153,15,P3
INC100208,File Storage experiencing some users affected in database layer,Database,Development,1,1,0.52,0,13,422,P2
INC100209,API Gateway experiencing failover in storage layer,Storage,Development,1,2,0.61,1,58,139,P2
INC100210,Email Service experiencing some users affected in security layer,Security,Development,1,3,0.65,0,51,494,P2
INC100211,File Storage experiencing high latency in security layer,Security,DR,3,3,0.69,0,54,411,P2
INC100212,VPN experiencing partial outage in storage layer,Storage,Production,4,1,0.68,1,33,427,P2
INC100213,Database Cluster experiencing workaround available in network layer,Network,Staging,2,1,0.36,1,196,10,P3
INC100214,Auth Service experiencing low priority in security layer,Security,Development,1,0,0.09,0,234,0,P4
INC100215,Email Service experiencing single user in network layer,Network,Staging,2,0,0.16,0,192,28,P3
INC100216,Reporting experiencing high latency in application layer,Application,Development,1,1,0.61,0,11,369,P2
INC100217,API Gateway experiencing slow in application layer,Application,Production,4,2,0.56,1,20,329,P2
INC100218,VPN experiencing slow in security layer,Security,Development,1,3,0.67,0,46,402,P2
INC100219,VPN experiencing warning in network layer,Network,Production,4,0,0.12,0,159,5,P3
INC100220,Web Portal experiencing production down in storage layer,Storage,DR,3,4,0.9,0,10,841,P1
INC100221,Payment Gateway experiencing low impact in security layer,Security,Development,1,0,0.45,0,145,8,P3
INC100222,Database Cluster experiencing single user in security layer,Security,Staging,2,0,0.34,0,237,42,P3
INC100223,Auth Service experiencing revenue impact in security layer,Security,Production,4,6,0.84,1,7,4943,P1
INC100224,File Storage experiencing no impact in storage layer,Storage,Staging,2,0,0.12,0,380,0,P4
INC100225,Web Portal experiencing minor issue in application layer,Application,DR,3,1,0.14,1,67,52,P3
INC100226,Auth Service experiencing minor issue in security layer,Security,Staging,2,1,0.22,0,31,27,P3
INC100227,API Gateway experiencing partial outage in database layer,Database,Production,4,2,0.56,1,15,468,P2
INC100228,Database Cluster experiencing how to in security layer,Security,Development,1,0,0.03,0,298,0,P4
INC100229,API Gateway experiencing high latency in storage layer,Storage,Staging,2,2,0.7,1,25,56,P2
INC100230,API Gateway experiencing slow in storage layer,Storage,Production,4,3,0.64,0,29,315,P2
INC100231,VPN experiencing question in storage layer,Storage,Production,4,0,0.14,0,329,0,P4
INC100232,File Storage experiencing non-critical in storage layer,Storage,Staging,2,0,0.24,0,146,34,P3
INC100233,Reporting experiencing breach in security layer,Security,Staging,2,7,0.86,1,12,4224,P1
INC100234,VPN experiencing no impact in application layer,Application,DR,3,0,0.03,0,313,1,P4
INC100235,Database Cluster experiencing non-critical in database layer,Database,Development,1,1,0.26,0,40,50,P3
INC100236,Email Service experiencing critical in network layer,Network,DR,3,3,0.74,0,14,4065,P1
INC100237,Auth Service experiencing partial outage in security layer,Security,DR,3,3,0.48,0,38,469,P2
INC100238,Database Cluster experiencing workaround available in application layer,Application,Development,1,0,0.26,0,36,27,P3
INC100239,VPN experiencing single user in storage layer,Storage,Staging,2,1,0.19,0,178,54,P3
INC100240,Email Service experiencing inquiry in application layer,Application,Production,4,0,0.03,0,448,0,P4
INC100241,Database Cluster experiencing some users affected in application layer,Application,Staging,2,2,0.42,0,26,546,P2
INC100242,File Storage experiencing minor issue in storage layer,Storage,Development,1,0,0.27,0,81,48,P3
INC100243,Reporting experiencing single user in database layer,Database,DR,3,1,0.4,0,71,13,P3
INC100244,Web Portal experiencing degraded in network layer,Network,DR,3,1,0.64,0,38,146,P2
INC100245,Web Portal experiencing documentation in security layer,Security,Staging,2,0,0.12,0,306,1,P4
INC100246,Auth Service experiencing workaround available in network layer,Network,Staging,2,0,0.28,0,189,44,P3
INC100247,Web Portal experiencing warning in storage layer,Storage,Production,4,0,0.35,0,181,35,P3
INC100248,Database Cluster experiencing revenue impact in security layer,Security,Production,4,4,0.84,1,4,4994,P1
INC100249,API Gateway experiencing enhancement in security layer,Security,Development,1,0,0.06,0,320,1,P4
INC100250,Auth Service experiencing revenue impact in security layer,Security,DR,3,3,0.99,1,3,4132,P1
INC100251,Reporting experiencing degraded in network layer,Network,DR,3,2,0.57,1,19,198,P2
INC100252,VPN experiencing some users affected in application layer,Application,Development,1,1,0.72,1,41,275,P2
INC100253,Web Portal experiencing slow in network layer,Network,Development,1,3,0.43,0,23,173,P2
INC100254,File Storage experiencing single user in security layer,Security,Staging,2,1,0.17,1,149,21,P3
INC100255,Reporting experiencing errors increasing in network layer,Network,DR,3,2,0.62,0,17,351,P2
INC100256,VPN experiencing low impact in security layer,Security,Development,1,0,0.19,0,42,18,P3
INC100257,Payment Gateway experiencing errors increasing in security layer,Security,Production,4,3,0.58,1,22,327,P2
INC100258,Web Portal experiencing non-critical in network layer,Network,Production,4,0,0.14,0,59,39,P3
INC100259,Web Portal experiencing delay in storage layer,Storage,Production,4,1,0.1,0,34,3,P3
INC100260,Payment Gateway experiencing enhancement in database layer,Database,DR,3,0,0.05,0,464,2,P4
INC100261,Reporting experiencing partial outage in storage layer,Storage,Production,4,2,0.7,1,21,258,P2
INC100262,Database Cluster experiencing security incident in application layer,Application,Production,4,6,0.8,0,7,4395,P1
INC100263,File Storage experiencing workaround available in security layer,Security,Staging,2,1,0.41,0,66,38,P3
INC100264,VPN experiencing low impact in storage layer,Storage,DR,3,1,0.16,0,46,55,P3
INC100265,Web Portal experiencing documentation in database layer,Database,Production,4,0,0.09,0,114,3,P4
INC100266,Payment Gateway experiencing non-critical in application layer,Application,Staging,2,0,0.11,0,92,46,P3
INC100267,VPN experiencing some users affected in storage layer,Storage,DR,3,3,0.69,1,54,399,P2
INC100268,Payment Gateway experiencing errors increasing in network layer,Network,Development,1,1,0.61,1,20,167,P2
INC100269,File Storage experiencing minor issue in security layer,Security,Production,4,0,0.34,1,153,11,P3
INC100270,Reporting experiencing workaround available in storage layer,Storage,Staging,2,0,0.44,0,136,49,P3
INC100271,VPN experiencing warning in storage layer,Storage,Staging,2,0,0.2,1,199,35,P3
INC100272,Database Cluster experiencing workaround available in storage layer,Storage,Development,1,0,0.25,1,129,6,P3
INC100273,API Gateway experiencing warning in application layer,Application,Staging,2,1,0.36,1,211,46,P3
INC100274,File Storage experiencing warning in network layer,Network,DR,3,1,0.1,0,135,30,P3
INC100275,Email Service experiencing revenue impact in database layer,Database,Development,1,4,0.78,1,10,704,P1
INC100276,File Storage experiencing failover in storage layer,Storage,Production,4,3,0.42,1,30,245,P2
INC100277,Web Portal experiencing intermittent in application layer,Application,Development,1,3,0.71,0,35,541,P2
INC100278,Database Cluster experiencing inquiry in network layer,Network,Staging,2,0,0.15,0,128,2,P4
INC100279,API Gateway experiencing non-critical in network layer,Network,Production,4,0,0.43,1,218,41,P3
INC100280,Reporting experiencing all users affected in security layer,Security,Production,4,3,0.86,0,2,2590,P1
INC100281,Auth Service experiencing down in network layer,Network,Staging,2,4,0.85,0,2,3637,P1
INC100282,Email Service experiencing production down in database layer,Database,DR,3,6,0.72,1,12,1110,P1
INC100283,Email Service experiencing data loss in network layer,Network,Development,1,6,0.86,1,4,3291,P1
INC100284,Reporting experiencing no impact in security layer,Security,Staging,2,0,0.15,0,85,0,P4
INC100285,Web Portal experiencing outage in database layer,Database,Production,4,4,0.85,0,4,2314,P1
INC100286,API Gateway experiencing documentation in database layer,Database,Staging,2,0,0.14,0,327,1,P4
INC100287,Reporting experiencing breach in security layer,Security,DR,3,7,0.89,1,14,4025,P1
INC100288,API Gateway experiencing enhancement in database layer,Database,Development,1,0,0.04,0,99,0,P4
INC100289,Database Cluster experiencing workaround available in storage layer,Storage,Development,1,1,0.32,0,61,9,P3
INC100290,Email Service experiencing documentation in network layer,Network,Staging,2,0,0.1,0,328,1,P4
INC100291,Email Service experiencing failover in application layer,Application,Staging,2,3,0.64,0,13,431,P2
INC100292,Reporting experiencing workaround available in storage layer,Storage,Development,1,1,0.29,1,201,57,P3
INC100293,Reporting experiencing single user in security layer,Security,Development,1,1,0.27,1,59,26,P3
INC100294,Auth Service experiencing some users affected in application layer,Application,DR,3,3,0.45,0,56,387,P2
INC100295,Database Cluster experiencing workaround available in network layer,Network,Production,4,0,0.4,0,62,20,P3
INC100296,API Gateway experiencing workaround available in application layer,Application,Staging,2,0,0.16,1,153,1,P3
INC100297,File Storage experiencing inquiry in database layer,Database,Development,1,0,0.08,0,353,4,P4
INC100298,File Storage experiencing breach in storage layer,Storage,Production,4,6,0.77,1,12,2757,P1
INC100299,Email Service experiencing non-critical in database layer,Database,Staging,2,0,0.24,0,171,36,P3
INC100300,API Gateway experiencing low impact in database layer,Database,Staging,2,0,0.14,0,54,40,P3
INC100301,API Gateway experiencing low impact in network layer,Network,Staging,2,0,0.39,0,57,20,P3
INC100302,Email Service experiencing question in network layer,Network,Staging,2,0,0.04,0,457,4,P4
INC100303,Reporting experiencing warning in network layer,Network,DR,3,1,0.2,1,82,35,P3
